Length, LastChild,  Children,  LastChildTD,  ChildrenTD
33855, 1292, 1306, 2280, 2375
3497, 275, 310, 317, 310
24166, 1139, 1174, 1596, 1727
5905, 534, 667, 609, 595
12562, 874, 935, 1277, 912
1055346, 8152, 7914, 25968, 25931
49636, 1891, 1911, 2848, 2682
104167, 2695, 2666, 5000, 5445
73392, 2119, 2082, 3220, 3252
76733, 1926, 1925, 3827, 3830
7024, 542, 642, 600, 615
25041, 1180, 1203, 1812, 1702
63999, 2086, 2082, 3182, 3234
51388, 1562, 1558, 2749, 2751
26065, 1206, 1216, 1799, 1747
2369, 165, 198, 183, 186
76516, 1957, 2044, 3187, 3271
70877, 2278, 2299, 4508, 4603
3480, 281, 286, 340, 347
58760, 1972, 1886, 3019, 2811
14018, 965, 953, 1680, 1534
44969, 1669, 1715, 2367, 2490
2135, 180, 225, 206, 230
40830, 1680, 1682, 2390, 2369
12273, 773, 780, 1138, 1211
5920, 548, 560, 890, 821
657870, 6971, 6879, 19151, 18772
42003, 1621, 1610, 2594, 2487
51704, 1964, 1878, 2788, 2848
3869, 372, 397, 383, 426
5773, 611, 677, 642, 736
288012, 3358, 3360, 7368, 7429
9145, 818, 795, 875, 945
6639, 676, 703, 817, 844
859, 51, 64, 71, 74
3119, 321, 389, 361, 368
63667, 1646, 1653, 2794, 2813
2847, 267, 304, 284, 282
225083, 2687, 2698, 5841, 5811
248314, 4762, 4780, 8359, 8197
8781, 762, 808, 838, 934
4316, 430, 488, 493, 524
18515, 781, 775, 1359, 1353
307721, 4539, 4492, 8960, 9046
2214, 198, 269, 243, 254
215766, 2915, 2920, 5544, 5534
66824, 1757, 1760, 2805, 2811
3687, 352, 370, 334, 386
2511, 242, 252, 254, 269
5382, 570, 612, 563, 631
102345, 2547, 2524, 4451, 4403
3074, 311, 347, 327, 344
4201, 375, 434, 446, 468
467232, 4865, 4898, 11237, 11506
2736, 333, 362, 343, 366
8206, 567, 621, 1010, 1014
5119, 517, 564, 581, 645
51647, 1807, 1813, 2764, 2775
7412, 805, 862, 861, 913
9074, 919, 931, 966, 1024
128628, 2575, 2566, 4569, 4456
1962, 196, 259, 216, 223
12641, 738, 770, 1527, 1487
5008, 491, 554, 499, 573
192015, 4059, 4047, 7174, 6643
35143, 1197, 1204, 1736, 1725
171552, 3199, 3189, 5506, 5467
231583, 2986, 2986, 6666, 6610
3764, 436, 485, 462, 470
58115, 1890, 1908, 2818, 2724
288294, 3785, 3779, 6733, 6884
40557, 1685, 1639, 2566, 2496
5438, 569, 593, 569, 631
2761, 270, 332, 376, 383
328712, 3834, 3845, 7817, 7810
3322, 268, 373, 342, 390
7486, 646, 771, 786, 800
228077, 3139, 3139, 6609, 6609
3744, 394, 401, 433, 457
72056, 1799, 1809, 3230, 3226
5444, 553, 708, 665, 743
259491, 3089, 3076, 6847, 6927
191210, 2596, 2577, 5279, 5155
203966, 2955, 2956, 5975, 5916
2424, 209, 215, 215, 280
8086, 576, 612, 1221, 778
1912, 189, 218, 208, 214
121576, 2571, 2609, 4460, 4354
37128, 1275, 1283, 2001, 1991
4743, 378, 475, 450, 533
326185, 4428, 4432, 8661, 8559
2453, 200, 329, 258, 263
7663, 718, 762, 828, 862
344746, 4371, 4367, 8964, 9152
3266, 312, 358, 372, 410
288852, 3079, 3072, 7914, 7929
415660, 3944, 3914, 9272, 9416
2661, 294, 292, 263, 335
94153, 2521, 2524, 4105, 3945
5650, 432, 406, 452, 543
211670, 3218, 3187, 6004, 5936
63116, 1931, 1964, 3089, 2990
23016, 1200, 1204, 1920, 1963
161789, 3569, 3562, 5882, 5707
33717, 1159, 1158, 1897, 1896
415872, 5462, 5468, 10267, 10153
1218, 98, 105, 104, 115
271525, 3809, 3786, 7609, 7660
3801, 358, 402, 369, 405
2987, 388, 428, 416, 416
327112, 3742, 3603, 8431, 8304
3814, 325, 415, 387, 420
11331, 881, 951, 1556, 1467
196542, 2770, 2807, 5959, 5975
3120, 282, 314, 307, 330
5240, 445, 460, 541, 563
60123, 1592, 1603, 2651, 2683
5190, 396, 439, 447, 443
92238, 1882, 1873, 3424, 3431
3474, 331, 402, 346, 349
4115, 361, 540, 464, 485
133230, 2266, 2268, 4486, 4508
13540, 1198, 1282, 1293, 1318
98033, 2280, 2248, 4083, 4064
241, 20, 22, 33, 38
43800, 1280, 1278, 2428, 2398
356019, 3407, 3399, 7559, 7438
209101, 3085, 3083, 6057, 5922
6295, 606, 659, 1137, 1224
3294, 309, 324, 331, 342
5166, 498, 575, 573, 622
195314, 2499, 2389, 5192, 5134
12577, 731, 731, 1161, 1160
2080, 197, 283, 237, 234
89524, 2216, 2220, 3910, 3869
8907, 673, 673, 1097, 1166
26259, 1201, 1201, 1809, 1795
171073, 2890, 2893, 5337, 5370
373750, 3675, 3670, 9424, 9566
2834, 282, 312, 293, 325
185793, 3169, 3127, 5477, 5558
4100, 459, 480, 475, 507
159797, 2555, 2560, 4758, 4670
2367, 260, 344, 311, 326
138551, 2638, 2562, 4839, 4880
180084, 2904, 2939, 5386, 5376
3582, 378, 440, 424, 437
161046, 2533, 2497, 4956, 4816
4181, 440, 439, 509, 518
248582, 3295, 3294, 6688, 6669
22380, 1281, 1284, 1812, 1857
8142, 616, 761, 1396, 836
4261, 525, 567, 575, 595
42488, 1673, 1681, 2678, 2608
1031, 104, 149, 108, 105
2859, 264, 315, 280, 321
2276, 212, 292, 246, 259
5270, 604, 620, 599, 627
180554, 3613, 3525, 6246, 6321
9163, 878, 932, 1371, 995
69090, 1789, 1785, 2907, 2890
241411, 3110, 3107, 6791, 6659
8003, 703, 717, 754, 787
183143, 3427, 3501, 5974, 5938
255, 22, 24, 38, 39
10683, 1018, 1061, 1088, 1235
9656, 933, 1045, 1063, 1116
1920, 193, 198, 199, 218
416461, 4531, 4539, 11044, 11110
220077, 3576, 3580, 6579, 6542
12045, 724, 727, 1163, 1187
31004, 1302, 1305, 1949, 1908
8977, 864, 891, 933, 948
2993, 360, 435, 428, 461
229983, 3561, 3552, 6707, 6734
4409, 426, 547, 501, 532
73997, 1338, 1364, 2537, 2512
87642, 2234, 2107, 3599, 3511
152551, 2685, 2667, 4638, 4638
237868, 3487, 3382, 6743, 6744
