Length, LastChild,  Children,  LastChildTD,  ChildrenTD,  Distance1BU,  Distance1,  Distance3BU,  Distance3,  Distance5BU,  Distance5,  LCllavg,  LClhavg,  LChlavg,  LChhavg,  LCllmax,  LClhmax,  LChlmax,  LChhmax
19285, 1097, 1104, 1645, 1589, 1100, 1664, 1133, 1662, 1158, 1565, 1128, 1133, 1128, 1140, 1126, 1115, 1126, 1107
33855, 1310, 1319, 2280, 2375, 1319, 2441, 1292, 2087, 1290, 2178, 1342, 1371, 1288, 1307, 1353, 1376, 1352, 1278
7234, 439, 618, 582, 574, 631, 614, 625, 734, 623, 712, 445, 443, 431, 538, 443, 425, 435, 424
9734, 797, 802, 1220, 1111, 836, 1313, 830, 1137, 834, 1036, 805, 803, 790, 788, 794, 801, 780, 789
44099, 1734, 1726, 2793, 2823, 1732, 2922, 1723, 2919, 1786, 2581, 1732, 1783, 1733, 1737, 1714, 1774, 1714, 1703
52129, 1809, 1827, 2501, 2716, 1821, 2686, 1810, 2686, 1802, 2686, 1834, 1837, 1834, 1842, 1833, 1822, 1833, 1816
1649, 180, 210, 225, 226, 223, 215, 220, 236, 218, 278, 169, 193, 169, 199, 171, 207, 171, 166
46705, 1315, 1304, 2229, 2160, 1303, 2168, 1285, 2273, 1285, 2181, 1315, 1273, 1316, 1311, 1312, 1345, 1313, 1300
11240, 766, 779, 788, 865, 779, 813, 777, 1058, 775, 1096, 766, 759, 765, 755, 766, 757, 765, 756
38939, 1336, 1398, 2780, 2673, 1391, 2669, 1354, 2718, 1353, 2776, 1370, 1360, 1286, 1384, 1387, 1400, 1394, 1291
4193, 394, 437, 441, 505, 437, 448, 441, 615, 450, 636, 378, 380, 375, 392, 390, 378, 390, 413
11153, 720, 719, 1133, 1073, 719, 1115, 727, 1046, 726, 1090, 716, 716, 717, 725, 717, 715, 716, 711
38665, 1471, 1489, 2430, 2378, 1489, 2320, 1465, 2349, 1462, 2493, 1472, 1426, 1472, 1465, 1475, 1425, 1475, 1463
4048, 351, 368, 426, 456, 363, 440, 364, 537, 360, 538, 367, 353, 369, 350, 362, 350, 364, 355
