Proof,Uncompressed:length,Uncompressed:coreSize,Uncompressed:height,Uncompressed:space,Uncompressed:time,Congruence:length,Congruence:coreSize,Congruence:height,Congruence:space,Congruence:time,
F:/Proofs/QF_UF/SEQ/SEQ004_size5,253,26,40,26,1256,253,26,40,26,511,
F:/Proofs/QF_UF/SEQ/SEQ004_size6,996,48,88,99,955,996,48,88,99,1061,
F:/Proofs/QF_UF/SEQ/SEQ005_size6,4597,698,142,318,2448,4596,698,142,318,24824,
F:/Proofs/QF_UF/SEQ/SEQ005_size7,1038,233,76,83,884,1035,233,76,83,1142,
F:/Proofs/QF_UF/SEQ/SEQ009_size7,224,35,33,13,7095,224,35,33,13,46,
F:/Proofs/QF_UF/SEQ/SEQ009_size8,365,56,35,28,315,365,56,35,28,82,
F:/Proofs/QF_UF/SEQ/SEQ009_size9,358,54,50,15,333,358,54,50,15,87,
F:/Proofs/QF_UF/SEQ/SEQ010_size6,3473,480,142,232,2476,3473,480,142,232,4920,
F:/Proofs/QF_UF/SEQ/SEQ010_size7,1836,347,87,158,937,1836,347,87,158,1035,
F:/Proofs/QF_UF/SEQ/SEQ010_size8,28265,2886,336,1161,40043,28246,2886,336,1160,511910,
F:/Proofs/QF_UF/SEQ/SEQ010_size9,35191,3291,348,1435,78614,35144,3291,348,1433,895046,
F:/Proofs/QF_UF/SEQ/SEQ011_size2,112,23,23,13,137,112,23,23,13,70,
F:/Proofs/QF_UF/SEQ/SEQ011_size3,635,95,73,82,768,630,95,73,82,457,
F:/Proofs/QF_UF/SEQ/SEQ013_size4,9796,599,141,360,5988,9792,599,141,358,40113,
F:/Proofs/QF_UF/SEQ/SEQ013_size5,22501,1256,234,559,23275,22471,1256,234,559,173188,
F:/Proofs/QF_UF/SEQ/SEQ015_size2,803,159,80,80,235,803,159,80,80,189,
F:/Proofs/QF_UF/SEQ/SEQ015_size3,11429,1072,377,352,21708,11422,1072,377,353,14073,
F:/Proofs/QF_UF/SEQ/SEQ017_size4,1753,221,50,132,745,1753,221,50,132,2694,
F:/Proofs/QF_UF/SEQ/SEQ017_size5,378,92,31,30,326,378,92,31,30,195,
F:/Proofs/QF_UF/SEQ/SEQ018_size6,3490,535,73,225,1766,3490,535,73,225,6061,
F:/Proofs/QF_UF/SEQ/SEQ018_size7,6982,1028,194,479,3783,6980,1028,194,479,38365,
F:/Proofs/QF_UF/SEQ/SEQ019_size4,758,154,53,58,303,758,154,53,58,315,
F:/Proofs/QF_UF/SEQ/SEQ019_size5,952,193,52,83,477,952,193,52,83,704,
F:/Proofs/QF_UF/SEQ/SEQ020_size2,126,25,32,19,140,126,25,32,19,62,
F:/Proofs/QF_UF/SEQ/SEQ020_size3,496,82,64,75,775,465,82,64,63,440,
F:/Proofs/QF_UF/SEQ/SEQ026_size4,11105,1162,257,376,21746,11096,1162,257,376,200918,
F:/Proofs/QF_UF/SEQ/SEQ026_size5,24988,2595,353,787,128509,24968,2595,353,788,1244418,
F:/Proofs/QF_UF/SEQ/SEQ032_size2,465,105,53,48,808,463,105,53,47,593,
F:/Proofs/QF_UF/SEQ/SEQ032_size3,5401,667,180,248,2676,5391,667,180,248,4331,
F:/Proofs/QF_UF/SEQ/SEQ035_size4,25526,3313,288,1138,19095,25341,3313,288,1143,72972,
F:/Proofs/QF_UF/SEQ/SEQ032_size2,465,105,53,48,857,463,105,53,47,674,
F:/Proofs/QF_UF/SEQ/SEQ032_size3,5401,667,180,248,2824,5391,667,180,248,4651,
F:/Proofs/QF_UF/SEQ/SEQ035_size4,25526,3313,288,1138,20749,25341,3313,288,1143,76400,
