Proof,Uncompressed.length,Uncompressed.coreSize,Uncompressed.height,Uncompressed.space,Uncompressed.time,CNew.length,CNew.coreSize,CNew.height,CNew.space,CNew.time,
F:/Proofs/QF_UF/SEQ/SEQ004_size5,253,26,40,26,1205,253,26,40,26,665,
F:/Proofs/QF_UF/SEQ/SEQ004_size6,996,48,88,99,1036,996,48,88,99,1197,
F:/Proofs/QF_UF/SEQ/SEQ005_size6,4597,698,142,318,2558,4890,1660,128,147,4020,
F:/Proofs/QF_UF/SEQ/SEQ005_size7,1038,233,76,83,988,909,240,75,51,742,
F:/Proofs/QF_UF/SEQ/SEQ009_size7,224,35,33,13,134,224,35,33,13,33,
F:/Proofs/QF_UF/SEQ/SEQ009_size8,365,56,35,28,197,366,66,35,22,79,
F:/Proofs/QF_UF/SEQ/SEQ009_size9,358,54,50,15,248,358,54,50,15,73,
F:/Proofs/QF_UF/SEQ/SEQ010_size6,3473,480,142,232,2352,5720,2342,100,105,4675,
F:/Proofs/QF_UF/SEQ/SEQ010_size7,1836,347,87,158,961,1961,570,82,98,892,
F:/Proofs/QF_UF/SEQ/SEQ010_size8,28265,2886,336,1161,40298,40781,14666,302,510,32199,
F:/Proofs/QF_UF/SEQ/SEQ010_size9,35191,3291,348,1435,72090,52838,18791,310,618,45123,
F:/Proofs/QF_UF/SEQ/SEQ011_size2,112,23,23,13,148,112,23,23,13,54,
F:/Proofs/QF_UF/SEQ/SEQ011_size3,635,95,73,82,813,635,95,73,82,478,
F:/Proofs/QF_UF/SEQ/SEQ013_size4,9796,599,141,360,6092,22915,9888,121,116,13914,
F:/Proofs/QF_UF/SEQ/SEQ013_size5,22501,1256,234,559,23611,51078,21625,225,213,30582,
F:/Proofs/QF_UF/SEQ/SEQ015_size2,803,159,80,80,235,1140,503,49,35,1039,
F:/Proofs/QF_UF/SEQ/SEQ015_size3,11429,1072,377,352,21155,23067,10496,233,149,52819,
F:/Proofs/QF_UF/SEQ/SEQ017_size4,1753,221,50,132,733,2574,978,41,52,1223,
F:/Proofs/QF_UF/SEQ/SEQ017_size5,378,92,31,30,357,290,77,27,18,189,
F:/Proofs/QF_UF/SEQ/SEQ018_size6,3490,535,73,225,1790,4327,1587,59,97,2757,
F:/Proofs/QF_UF/SEQ/SEQ018_size7,6982,1028,194,479,4114,8464,2984,175,201,5414,
F:/Proofs/QF_UF/SEQ/SEQ019_size4,758,154,53,58,305,798,280,42,37,379,
F:/Proofs/QF_UF/SEQ/SEQ019_size5,952,193,52,83,488,1077,377,47,48,577,
F:/Proofs/QF_UF/SEQ/SEQ020_size2,126,25,32,19,155,126,25,32,19,62,
F:/Proofs/QF_UF/SEQ/SEQ020_size3,496,82,64,75,866,496,82,64,75,520,
F:/Proofs/QF_UF/SEQ/SEQ026_size4,11105,1162,257,376,21371,41739,19312,207,174,78403,
F:/Proofs/QF_UF/SEQ/SEQ026_size5,24988,2595,353,787,123570,
