Proof,Uncompressed.length,Uncompressed.coreSize,Uncompressed.height,Uncompressed.space,Uncompressed.time,ArrayC.length,ArrayC.coreSize,ArrayC.height,ArrayC.space,ArrayC.time,FibC.length,FibC.coreSize,FibC.height,FibC.space,FibC.time,
F:/Proofs/QF_UF/SEQ/SEQ004_size5,253,26,40,26,1148,253,26,40,26,790,253,26,40,26,540,
F:/Proofs/QF_UF/SEQ/SEQ004_size6,996,48,88,99,994,996,48,88,99,1763,996,48,88,99,1723,
F:/Proofs/QF_UF/SEQ/SEQ005_size6,4597,698,142,318,2379,4596,698,142,318,25564,4596,698,142,318,24980,
F:/Proofs/QF_UF/SEQ/SEQ005_size7,1038,233,76,83,922,1035,233,76,83,1594,1035,233,76,83,1591,
F:/Proofs/QF_UF/SEQ/SEQ009_size7,224,35,33,13,7050,224,35,33,13,47,224,35,33,13,47,
F:/Proofs/QF_UF/SEQ/SEQ009_size8,365,56,35,28,200,365,56,35,28,99,365,56,35,28,99,
F:/Proofs/QF_UF/SEQ/SEQ009_size9,358,54,50,15,260,358,54,50,15,99,358,54,50,15,98,
F:/Proofs/QF_UF/SEQ/SEQ010_size6,3473,480,142,232,2339,3473,480,142,232,5098,3473,480,142,232,5079,
F:/Proofs/QF_UF/SEQ/SEQ010_size7,1836,347,87,158,914,1836,347,87,158,1276,1836,347,87,158,1272,
F:/Proofs/QF_UF/SEQ/SEQ010_size8,28265,2886,336,1161,38555,28246,2886,336,1160,514899,
