Proof,Uncompressed.length,Uncompressed.coreSize,Uncompressed.height,Uncompressed.space,Uncompressed.time,Uncompressed.transLength,FCNew.length,FCNew.coreSize,FCNew.height,FCNew.space,FCNew.time,FCNew.transLength,ACNew.length,ACNew.coreSize,ACNew.height,ACNew.space,ACNew.time,ACNew.transLength,PCNew.length,PCNew.coreSize,PCNew.height,PCNew.space,PCNew.time,PCNew.transLength,FCNewNew.length,FCNewNew.coreSize,FCNewNew.height,FCNewNew.space,FCNewNew.time,FCNewNew.transLength,ACNewNew.length,ACNewNew.coreSize,ACNewNew.height,ACNewNew.space,ACNewNew.time,ACNewNew.transLength,PCNewNew.length,PCNewNew.coreSize,PCNewNew.height,PCNewNew.space,PCNewNew.time,PCNewNew.transLength,
F:/Proofs/QF_UF/SEQ/SEQ004_size5,253,26,40,26,7951,253,253,26,40,26,647,253,253,26,40,26,415,253,253,26,40,26,469,253,253,26,40,26,456,253,253,26,40,26,426,253,253,26,40,26,409,253,
F:/Proofs/QF_UF/SEQ/SEQ004_size6,996,48,88,99,1181,996,996,48,88,99,1357,996,996,48,88,99,1305,996,996,48,88,99,1225,996,996,48,88,99,1257,996,996,48,88,99,1241,996,996,48,88,99,1232,996,
F:/Proofs/QF_UF/SEQ/SEQ005_size6,4597,698,142,318,2467,7259,4700,750,147,323,1436,7636,4700,750,147,323,1125,7636,4599,703,144,320,874,7259,4596,698,142,318,2778,7258,4596,698,142,318,2686,7258,4596,701,143,319,894,7256,
F:/Proofs/QF_UF/SEQ/SEQ005_size7,1038,233,76,83,1034,1490,1035,233,76,83,694,1487,1035,233,76,83,673,1487,1035,233,76,83,656,1487,1035,233,76,83,741,1487,1035,233,76,83,730,1487,1035,233,76,83,663,1487,
F:/Proofs/QF_UF/SEQ/SEQ009_size7,224,35,33,13,145,224,224,35,33,13,36,224,224,35,33,13,36,224,224,35,33,13,36,224,224,35,33,13,35,224,224,35,33,13,36,224,224,35,33,13,36,224,
F:/Proofs/QF_UF/SEQ/SEQ009_size8,365,56,35,28,205,425,365,56,35,28,63,425,365,56,35,28,63,425,365,56,35,28,61,425,365,56,35,28,83,425,365,56,35,28,83,425,365,56,35,28,65,425,
F:/Proofs/QF_UF/SEQ/SEQ009_size9,358,54,50,15,257,358,358,54,50,15,84,358,358,54,50,15,79,358,358,54,50,15,78,358,358,54,50,15,78,358,358,54,50,15,79,358,358,54,50,15,79,358,
F:/Proofs/QF_UF/SEQ/SEQ010_size6,3473,480,142,232,2374,5211,3549,514,147,238,764,5337,3549,514,147,238,725,5337,3457,485,141,234,652,5193,3473,480,142,232,2642,5211,3473,480,142,232,2697,5211,3457,485,141,234,694,5193,
F:/Proofs/QF_UF/SEQ/SEQ010_size7,1836,347,87,158,982,2708,1864,361,87,158,566,2778,1864,361,87,158,554,2778,1836,347,87,158,504,2708,1836,347,87,158,784,2708,1836,347,87,158,781,2708,1836,347,87,158,530,2708,
F:/Proofs/QF_UF/SEQ/SEQ010_size8,28265,2886,336,1161,39954,44545,28878,3231,343,1166,5102,47046,28878,3231,343,1166,4915,47046,28246,2902,337,1163,4287,44532,28246,2886,336,1160,20380,44526,28246,2886,336,1160,20386,44526,28216,2901,337,1163,4542,44476,
F:/Proofs/QF_UF/SEQ/SEQ010_size9,35191,3291,348,1435,72899,53093,35848,3680,358,1443,7250,55388,35848,3680,358,1443,6806,55388,35149,3325,354,1438,5855,53089,35144,3291,348,1433,29107,53046,35144,3291,348,1433,29167,53046,35136,3313,352,1436,6174,53054,
F:/Proofs/QF_UF/SEQ/SEQ011_size2,112,23,23,13,159,112,112,23,23,13,60,112,112,23,23,13,60,112,112,23,23,13,59,112,112,23,23,13,60,112,112,23,23,13,60,112,112,23,23,13,60,112,
F:/Proofs/QF_UF/SEQ/SEQ011_size3,635,95,73,82,832,635,630,95,73,82,518,630,630,95,73,82,514,630,630,95,73,82,513,630,630,95,73,82,520,630,630,95,73,82,522,630,630,95,73,82,517,630,
F:/Proofs/QF_UF/SEQ/SEQ013_size4,9796,599,141,360,6063,11896,9792,599,141,358,1071,11892,9792,599,141,358,1052,11892,9792,599,141,358,1010,11892,9792,599,141,358,7621,11892,9792,599,141,358,7659,11892,9792,599,141,358,1070,11892,
F:/Proofs/QF_UF/SEQ/SEQ013_size5,22501,1256,234,559,23484,27053,22573,1307,241,566,2488,27215,22573,1307,241,566,2343,27215,22471,1256,234,559,2197,27023,22471,1256,234,559,17582,27023,22471,1256,234,559,17725,27023,22471,1256,234,559,2329,27023,
F:/Proofs/QF_UF/SEQ/SEQ015_size2,803,159,80,80,247,1151,805,172,82,82,148,1149,805,172,82,82,139,1149,775,158,82,82,92,1081,803,159,80,80,628,1151,803,159,80,80,622,1151,772,156,81,81,108,1078,
F:/Proofs/QF_UF/SEQ/SEQ015_size3,11429,1072,377,352,21729,17545,11513,1333,339,356,3126,18265,11513,1333,339,356,3021,18265,11358,1111,380,353,2542,17430,11422,1072,377,353,26613,17538,11422,1072,377,353,26415,17538,11346,1102,380,353,2673,17414,
F:/Proofs/QF_UF/SEQ/SEQ017_size4,1753,221,50,132,769,2545,1753,221,50,132,251,2545,1753,221,50,132,238,2545,1753,221,50,132,211,2545,1753,221,50,132,971,2545,1753,221,50,132,970,2545,1753,221,50,132,233,2545,
F:/Proofs/QF_UF/SEQ/SEQ017_size5,378,92,31,30,375,576,378,92,31,30,171,576,378,92,31,30,169,576,378,92,31,30,159,576,378,92,31,30,201,576,378,92,31,30,200,576,378,92,31,30,166,576,
F:/Proofs/QF_UF/SEQ/SEQ018_size6,3490,535,73,225,1832,5180,3564,572,77,229,630,5452,3564,572,77,229,613,5452,3490,535,73,225,546,5180,3490,535,73,225,2045,5180,3490,535,73,225,2049,5180,3490,535,73,225,591,5180,
F:/Proofs/QF_UF/SEQ/SEQ018_size7,6982,1028,194,479,4018,10654,7106,1101,203,488,1282,11088,7106,1101,203,488,1244,11088,6992,1036,197,482,1113,10668,6980,1028,194,479,4224,10652,6980,1028,194,479,4220,10652,6984,1031,195,480,1200,10654,
