Proof,Uncompressed.length,Uncompressed.coreSize,Uncompressed.height,Uncompressed.space,Uncompressed.time,Uncompressed.transLength,FCNewNew.length,FCNewNew.coreSize,FCNewNew.height,FCNewNew.space,FCNewNew.time,FCNewNew.transLength,
F:/Proofs/QF_UF/SEQ/SEQ004_size5,253,26,40,26,4000,253,253,26,40,26,571,253,
F:/Proofs/QF_UF/SEQ/SEQ004_size6,996,48,88,99,994,996,996,48,88,99,1322,996,
F:/Proofs/QF_UF/SEQ/SEQ005_size6,4597,698,142,318,2569,7259,3846,1031,137,196,10380,6210,
F:/Proofs/QF_UF/SEQ/SEQ005_size7,1038,233,76,83,1079,1490,933,253,81,58,1009,1295,
F:/Proofs/QF_UF/SEQ/SEQ009_size7,224,35,33,13,155,224,224,35,33,13,40,224,
F:/Proofs/QF_UF/SEQ/SEQ009_size8,365,56,35,28,216,425,362,63,38,25,144,414,
F:/Proofs/QF_UF/SEQ/SEQ009_size9,358,54,50,15,270,358,358,54,50,15,85,358,
F:/Proofs/QF_UF/SEQ/SEQ010_size6,3473,480,142,232,2529,5211,2905,821,97,134,12162,4519,
F:/Proofs/QF_UF/SEQ/SEQ010_size7,1836,347,87,158,1039,2708,1753,449,93,121,1931,2609,
F:/Proofs/QF_UF/SEQ/SEQ010_size8,28265,2886,336,1161,42601,44545,25398,6069,314,726,82122,40704,
F:/Proofs/QF_UF/SEQ/SEQ010_size9,35191,3291,348,1435,90727,53093,30843,6739,345,876,143445,48785,
F:/Proofs/QF_UF/SEQ/SEQ011_size2,112,23,23,13,207,112,112,23,23,13,74,112,
F:/Proofs/QF_UF/SEQ/SEQ011_size3,635,95,73,82,996,635,630,95,73,82,633,630,
F:/Proofs/QF_UF/SEQ/SEQ013_size4,9796,599,141,360,7724,11896,8472,2175,129,189,49624,12742,
F:/Proofs/QF_UF/SEQ/SEQ013_size5,22501,1256,234,559,25202,27053,18606,4383,232,349,99152,26858,
F:/Proofs/QF_UF/SEQ/SEQ015_size2,803,159,80,80,406,1151,717,251,55,41,3133,1129,
F:/Proofs/QF_UF/SEQ/SEQ015_size3,11429,1072,377,352,23371,17545,8716,2892,176,172,228395,15192,
F:/Proofs/QF_UF/SEQ/SEQ017_size4,1753,221,50,132,803,2545,1535,384,42,84,3843,2409,
F:/Proofs/QF_UF/SEQ/SEQ017_size5,378,92,31,30,388,576,303,83,34,26,286,465,
F:/Proofs/QF_UF/SEQ/SEQ018_size6,3490,535,73,225,1943,5180,3161,906,67,126,8970,4787,
F:/Proofs/QF_UF/SEQ/SEQ018_size7,6982,1028,194,479,4564,10654,6376,1772,185,266,17154,9930,
F:/Proofs/QF_UF/SEQ/SEQ019_size4,758,154,53,58,344,1056,610,171,46,43,1057,846,
F:/Proofs/QF_UF/SEQ/SEQ019_size5,952,193,52,83,598,1380,847,245,54,56,1529,1225,
F:/Proofs/QF_UF/SEQ/SEQ020_size2,126,25,32,19,197,126,126,25,32,19,85,126,
F:/Proofs/QF_UF/SEQ/SEQ020_size3,496,82,64,75,1041,496,465,82,64,63,624,465,
F:/Proofs/QF_UF/SEQ/SEQ026_size4,11105,1162,257,376,25011,17713,9964,2887,184,227,217637,16996,
F:/Proofs/QF_UF/SEQ/SEQ026_size5,24988,2595,353,787,138912,41066,
