Proof,Uncompressed.length,Uncompressed.coreSize,Uncompressed.height,Uncompressed.space,Uncompressed.time,PCNew.length,PCNew.coreSize,PCNew.height,PCNew.space,PCNew.time,FCNew.length,FCNew.coreSize,FCNew.height,FCNew.space,FCNew.time,ACNew.length,ACNew.coreSize,ACNew.height,ACNew.space,ACNew.time,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/qg5/iso_icl022,1943,444,382,235,2402,1909,439,382,232,715,1944,445,382,235,640,1944,445,382,235,472,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/qg5/gensys_icl780,390876,3397,6029,3395,226715,390737,3407,6029,3390,200147,389566,3479,6027,3395,199818,389566,3479,6027,3395,199130,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/qg5/gensys_icl877,266227,3191,4714,2909,92299,265939,3188,4714,2904,79069,265203,3321,4710,2909,79560,265203,3321,4710,2909,80192,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/qg5/iso_brn951,14808,1326,1381,943,6027,14739,1321,1380,938,5247,14617,1351,1359,938,5217,14617,1351,1359,938,5212,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/qg5/gensys_icl729,349899,3987,6087,3494,175053,349617,3982,6087,3489,146002,349574,4158,6083,3494,150049,349574,4158,6083,3494,149221,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/qg5/gensys_icl1041,46206,1788,1442,1305,10510,46072,1797,1442,1301,8739,46194,1896,1439,1300,9756,46194,1896,1439,1300,9729,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/qg5/iso_brn790,10172,892,988,690,3033,10105,888,988,685,2562,10145,907,980,682,2649,10145,907,980,682,2661,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/qg5/iso_icl918,5640,823,540,615,2262,5606,818,540,612,1753,5623,827,540,615,1760,5623,827,540,615,1764,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/qg5/gensys_icl1113,97791,2131,2458,1888,22901,97614,2127,2458,1882,18944,97569,2216,2452,1886,19691,97569,2216,2452,1886,19688,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/qg5/gensys_brn1214,69577,1822,2584,1504,15865,69381,1830,2584,1499,13953,69449,1891,2584,1503,14873,69449,1891,2584,1503,14845,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/qg5/gensys_icl786,192107,3027,3635,2298,65254,191903,3022,3635,2293,52254,191127,3116,3633,2296,54173,191127,3116,3633,2296,54501,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/qg5/gensys_icl170,487547,2936,7834,2921,199347,487419,2935,7834,2916,150953,486739,3109,7828,2921,158827,486739,3109,7828,2921,158844,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/qg5/iso_icl009,3914,746,558,414,775,3874,741,558,411,406,3847,752,541,411,422,3847,752,541,411,419,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/qg5/gensys_icl165,267200,3396,6277,3133,96987,266863,3391,6277,3128,77039,266007,3450,6275,3129,78253,266007,3450,6275,3129,78613,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/qg5/iso_icl668,11218,1218,934,823,2698,11117,1214,934,818,2061,11138,1239,934,818,2143,11138,1239,934,818,2134,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/qg5/gensys_icl768,388863,3827,5246,3030,235779,388699,3866,5246,3024,194138,388188,4072,5225,3030,199548,388188,4072,5225,3030,200216,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/qg5/gensys_icl066,3695,616,372,355,518,3660,613,372,353,272,3716,629,372,354,310,3716,629,372,354,306,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/qg5/gensys_icl906,328349,3522,3997,3298,172444,328020,3519,3997,3292,151126,327706,3635,3996,3297,154886,327706,3635,3996,3297,155011,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/qg5/iso_icl781,4132,806,483,378,1392,4110,801,483,377,682,4101,813,483,372,687,4101,813,483,372,687,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/qg5/gensys_icl051,3052,540,361,358,589,3040,537,361,356,306,3017,533,361,353,311,3017,533,361,353,308,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/qg5/gensys_icl224,11601,1047,654,849,1590,11575,1042,654,844,1263,11503,1053,654,849,1267,11503,1053,654,849,1263,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/qg5/gensys_brn710,95581,2373,2460,1998,78210,95361,2368,2459,1993,71952,95565,2399,2457,1998,74169,95565,2399,2457,1998,74306,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/qg5/iso_icl625,19262,1527,1391,1070,8419,19219,1522,1391,1065,7110,19106,1531,1390,1068,7299,19106,1531,1390,1068,7277,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/qg5/iso_icl508,14591,1224,891,866,5196,14466,1220,891,861,4370,14510,1238,887,865,4520,14510,1238,887,865,4514,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/qg5/gensys_icl492,11337,1118,635,804,1182,11257,1113,635,800,793,11320,1120,635,804,820,11320,1120,635,804,814,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/qg5/iso_icl856,10825,1015,734,734,2493,10742,1010,734,729,1853,10793,1042,733,731,1993,10793,1042,733,731,1979,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/qg5/iso_icl1243,1990,423,402,239,464,1974,418,402,237,216,1991,424,402,239,219,1991,424,402,239,220,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/qg5/gensys_icl885,127827,2359,2815,2432,45050,127771,2354,2815,2427,39392,127399,2396,2807,2428,41061,127399,2396,2807,2428,41019,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/qg5/iso_icl233,8247,939,819,683,1475,8244,938,819,682,995,8211,959,819,679,1044,8211,959,819,679,1043,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/qg5/gensys_icl691,484793,4382,7097,3453,209688,484415,4470,7097,3447,162000,482868,4900,7088,3448,166233,482868,4900,7088,3448,166764,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/qg5/gensys_brn1301,222277,3178,4418,2379,63760,222022,3208,4418,2374,51949,221822,3407,4412,2377,55230,221822,3407,4412,2377,55316,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/qg5/gensys_icl667,233366,2799,5294,2538,145972,233093,2797,5293,2529,126913,233034,2854,5292,2532,130462,233034,2854,5292,2532,129946,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/qg5/iso_brn605,17864,1294,1509,1015,7658,17778,1289,1509,1011,6598,17780,1301,1508,1015,6903,17780,1301,1508,1015,6888,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/qg5/iso_icl316,11483,1029,1090,733,1460,11402,1030,1090,728,1035,11448,1060,1089,733,1116,11448,1060,1089,733,1109,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/qg5/iso_brn154,10084,1071,1093,774,1486,10024,1071,1092,769,987,9973,1082,1039,774,1041,9973,1082,1039,774,1039,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/qg5/iso_icl642,14833,1348,840,963,8298,14782,1343,840,959,7216,14627,1361,803,962,7215,14627,1361,803,962,7187,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/qg5/iso_icl419,666,117,91,63,195,646,114,91,60,36,706,146,88,64,50,706,146,88,64,48,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/qg5/iso_brn445,12344,895,1129,723,1510,12271,890,1129,718,1119,12347,905,1129,723,1146,12347,905,1129,723,1142,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/qg5/iso_icl006,628,135,88,69,184,628,135,88,69,28,629,136,88,69,30,629,136,88,69,30,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/qg5/iso_icl047,1726,380,316,180,325,1707,376,316,177,92,1727,381,316,180,97,1727,381,316,180,96,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/qg5/gensys_icl834,709583,5078,7145,4702,374357,709109,5075,7145,4693,255217,708773,5226,7138,4700,260978,708773,5226,7138,4700,260920,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/qg5/iso_icl207,3613,704,354,382,655,3597,699,354,381,304,3501,679,354,372,290,3501,679,354,372,287,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/qg5/iso_icl952,14584,1285,907,891,5078,14492,1281,907,886,4199,14301,1293,881,882,4232,14301,1293,881,882,4229,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/qg5/gensys_icl1071,76197,1925,2118,1694,22419,76065,1924,2118,1689,19122,75878,1962,2114,1691,19876,75878,1962,2114,1691,19867,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/qg5/gensys_icl374,318993,4115,6080,3544,113224,318616,4116,6079,3538,91683,318500,4210,6074,3537,93831,318500,4210,6074,3537,93821,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/qg5/iso_icl1110,4111,764,783,417,1082,4084,759,783,412,663,4103,765,781,417,689,4103,765,781,417,687,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/qg5/gensys_icl355,121054,2778,2572,2339,33957,120793,2773,2572,2334,27848,121059,2847,2571,2339,29416,121059,2847,2571,2339,29265,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/qg5/gensys_icl049,2349,444,312,266,449,2346,443,312,265,218,2345,447,312,265,216,2345,447,312,265,218,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/qg5/iso_icl140,4836,1007,652,466,1636,4827,1005,652,466,1168,4790,1008,646,466,1157,4790,1008,646,466,1171,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/qg5/iso_icl071,27110,1588,2043,1322,12493,27044,1583,2043,1317,11388,26907,1595,2043,1321,11663,26907,1595,2043,1321,11644,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/qg5/iso_brn1105,6532,804,582,565,1213,6479,799,582,560,783,6536,819,580,565,820,6536,819,580,565,815,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/qg5/iso_icl875,3051,535,360,332,507,3020,530,360,329,233,3065,542,360,332,250,3065,542,360,332,248,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/qg5/gensys_icl640,543008,3938,7653,3726,292991,542608,3935,7653,3721,230116,542547,4016,7652,3726,231618,542547,4016,7652,3726,232382,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/qg5/gensys_icl1146,33079,1378,1637,1248,10511,33028,1374,1637,1244,9441,32988,1395,1622,1244,10084,32988,1395,1622,1244,10145,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/qg5/iso_icl1058,6137,688,638,491,1253,6114,683,638,489,817,6086,698,638,491,862,6086,698,638,491,860,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/qg5/iso_brn925,8835,837,943,687,2013,8786,832,943,683,1552,8817,848,940,682,1622,8817,848,940,682,1622,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/qg5/iso_icl159,32106,1448,1669,1258,7229,32057,1447,1669,1253,6274,31795,1486,1659,1252,6530,31795,1486,1659,1252,6514,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/qg5/iso_icl1225,7887,916,763,616,1871,7830,911,763,613,1427,7900,923,763,616,1504,7900,923,763,616,1504,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/qg5/gensys_icl368,218103,3127,4265,3035,83962,217886,3123,4265,3030,73458,217514,3161,4265,3032,74287,217514,3161,4265,3032,74359,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/qg5/iso_brn061,795,173,182,111,164,792,172,182,111,45,795,173,182,111,46,795,173,182,111,46,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/qg5/gensys_icl213,35906,1830,1248,1564,5570,35780,1825,1248,1559,4898,35807,1857,1247,1561,5006,35807,1857,1247,1561,5060,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/qg5/gensys_icl924,252261,2848,6629,2911,160808,252081,2852,6629,2906,146469,251829,2920,6627,2910,150288,251829,2920,6627,2910,149188,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/qg5/iso_icl620,22559,1544,1116,1130,9939,22460,1539,1116,1125,8546,22106,1549,946,1125,8639,22106,1549,946,1125,8585,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/qg5/iso_icl480,3657,658,620,346,638,3618,653,620,341,274,3655,659,620,346,285,3655,659,620,346,281,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/qg5/iso_icl902,5707,860,562,575,1835,5661,855,562,570,1379,5686,874,561,574,1441,5686,874,561,574,1438,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/qg5/iso_icl788,1264,273,156,142,292,1240,270,156,138,66,1281,287,156,142,74,1281,287,156,142,73,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/qg5/gensys_icl1034,395497,4388,5731,3631,139098,394978,4402,5731,3623,97021,394052,4606,5718,3626,98813,394052,4606,5718,3626,98773,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/qg5/gensys_brn1271,43661,1755,2541,1403,11507,43526,1751,2541,1399,9910,43405,1799,2533,1398,10497,43405,1799,2533,1398,10505,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/qg5/iso_icl600,20058,1470,1654,1030,6019,19988,1465,1654,1025,5286,19922,1487,1637,1027,5345,19922,1487,1637,1027,5323,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/qg5/gensys_icl456,87795,2372,2474,2000,11694,87547,2382,2474,1992,9185,87744,2430,2473,2000,9926,87744,2430,2473,2000,9908,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/qg5/iso_brn414,8199,989,722,692,2016,8155,984,722,687,1561,8200,1001,719,692,1638,8200,1001,719,692,1637,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/qg5/iso_icl1236,3413,555,408,408,1058,3394,550,408,406,716,3424,564,408,408,755,3424,564,408,408,750,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/qg5/gensys_brn825,12066,1092,861,676,1694,11994,1095,861,671,1103,12103,1177,855,674,1302,12103,1177,855,674,1293,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/qg5/gensys_icl307,346558,4300,4808,3846,68497,346185,4303,4808,3835,44784,346336,4518,4796,3844,46643,346336,4518,4796,3844,46579,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/qg5/gensys_icl1199,64675,2013,1762,1739,17134,64486,2008,1762,1734,14573,64115,2018,1761,1733,15189,64115,2018,1761,1733,15158,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/qg5/iso_icl557,9165,1017,470,675,2295,9089,1012,470,670,1659,9146,1026,470,675,1725,9146,1026,470,675,1718,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/qg5/iso_brn1253,8203,971,809,677,1620,8135,966,809,673,1119,7959,978,805,673,1152,7959,978,805,673,1146,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/qg5/iso_brn909,6065,674,714,501,1121,6033,669,714,497,740,6063,676,714,501,771,6063,676,714,501,769,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/qg5/gensys_icl390,65340,1489,1559,1500,7681,65275,1484,1559,1496,6230,65263,1500,1559,1500,6621,65263,1500,1559,1500,6609,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/qg5/gensys_icl370,160712,2492,3239,2552,70694,160535,2488,3239,2547,62513,160607,2528,3216,2552,63599,160607,2528,3216,2552,63154,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/qg5/gensys_icl713,164067,2478,3727,2426,87501,163882,2474,3727,2422,78462,163887,2510,3726,2427,80738,163887,2510,3726,2427,80454,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/qg5/gensys_icl961,237088,2984,4856,2885,127918,236885,2979,4856,2880,111560,236142,3066,4856,2883,113260,236142,3066,4856,2883,113608,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/qg5/gensys_icl679,730552,5330,7718,4335,486115,730136,5349,7718,4333,340353,726718,5923,7708,4326,344934,726718,5923,7708,4326,345623,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/qg5/iso_icl385,4971,824,968,533,880,4941,819,968,531,529,4983,830,968,533,541,4983,830,968,533,542,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/qg5/gensys_brn851,582528,4392,6482,3926,256566,582249,4420,6482,3919,194834,581698,4586,6476,3924,196684,581698,4586,6476,3924,197391,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/qg5/gensys_icl298,407173,5045,5863,4283,105192,406681,5054,5863,4255,61560,406109,5307,5794,4281,63555,406109,5307,5794,4281,63510,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/qg5/gensys_icl434,124910,2021,2854,2231,50974,124834,2016,2854,2229,43304,124490,2045,2851,2230,45673,124490,2045,2851,2230,45597,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/qg5/iso_icl1227,7281,789,833,542,1507,7234,784,833,537,1101,7256,801,833,539,1141,7256,801,833,539,1143,
