original, produced, theorylemma
2, 2, TRUE
2, 2, TRUE
0, 0, TRUE
2, 2, TRUE
1, 2, TRUE
2, 2, TRUE
2, 2, TRUE
0, 0, TRUE
2, 2, TRUE
1, 2, TRUE
2, 2, TRUE
2, 2, TRUE
2, 2, TRUE
1, 2, TRUE
2, 2, TRUE
2, 2, TRUE
1, 1, TRUE
2, 2, TRUE
1, 1, TRUE
0, 0, TRUE
2, 2, TRUE
1, 2, TRUE
2, 2, TRUE
2, 2, TRUE
2, 2, TRUE
1, 2, TRUE
2, 2, TRUE
2, 2, TRUE
1, 1, TRUE
2, 2, TRUE
1, 1, TRUE
2, 2, TRUE
2, 2, TRUE
2, 2, TRUE
2, 2, TRUE
2, 2, TRUE
2, 2, TRUE
2, 2, TRUE
2, 2, TRUE
2, 2, TRUE
2, 2, TRUE
2, 2, TRUE
2, 2, TRUE
2, 2, TRUE
2, 2, TRUE
0, 0, TRUE
2, 2, TRUE
1, 2, TRUE
2, 2, TRUE
3, 3, TRUE
2, 2, TRUE
1, 2, TRUE
3, 3, TRUE
4, 4, TRUE
2, 2, TRUE
2, 2, TRUE
2, 2, TRUE
2, 2, TRUE
2, 2, TRUE
2, 2, TRUE
2, 2, TRUE
2, 2, TRUE
2, 2, TRUE
2, 2, TRUE
2, 2, TRUE
2, 2, TRUE
2, 2, TRUE
2, 2, TRUE
2, 2, TRUE
2, 2, TRUE
2, 2, TRUE
2, 2, TRUE
2, 2, TRUE
2, 2, TRUE
2, 2, TRUE
2, 2, TRUE
2, 2, TRUE
2, 2, TRUE
2, 2, TRUE
2, 2, TRUE
2, 2, TRUE
2, 2, TRUE
2, 2, TRUE
2, 2, TRUE
2, 2, TRUE
2, 2, TRUE
2, 2, TRUE
2, 2, TRUE
2, 2, TRUE
2, 2, TRUE
2, 2, TRUE
2, 2, TRUE
2, 2, TRUE
2, 2, TRUE
2, 2, TRUE
2, 2, TRUE
2, 2, TRUE
2, 2, TRUE
2, 2, TRUE
2, 2, TRUE
2, 2, TRUE
