Proof,Uncompressed.length,Uncompressed.coreSize,Uncompressed.height,Uncompressed.space,Uncompressed.time,Uncompressed.transLength,PCNewNew.length,PCNewNew.coreSize,PCNewNew.height,PCNewNew.space,PCNewNew.time,PCNewNew.transLength,FCNewNew.length,FCNewNew.coreSize,FCNewNew.height,FCNewNew.space,FCNewNew.time,FCNewNew.transLength,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/SEQ/SEQ009_size7,224,35,33,13,170,224,224,35,33,13,123,224,224,35,33,13,73,224,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/SEQ/SEQ005_size8,61853,5437,414,2310,143693,105559,51738,11928,412,1357,145028,87752,52117,11992,412,1311,275279,89227,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/qg6/iso_icl_nogen_sk009,178348,5017,3700,3551,38393,187948,172087,7247,3681,3953,1079784,182527,171034,7114,3679,3937,1421363,181158,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/qg6/gensys_icl_sk005,109669,3800,1902,2886,21686,114983,104955,4948,1908,3113,402167,110775,104264,4794,1896,3074,526711,109942,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/qg6/iso_icl002,15784,1343,1778,879,2243,17322,15366,1487,1761,855,49085,16854,15254,1490,1693,850,62404,16710,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/qg6/iso_icl_nogen_sk003,78820,4244,1997,2659,14890,83978,75332,5163,1995,2819,295082,80776,74946,5104,1976,2782,382000,80346,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/qg6/gensys_icl002,533373,3724,10133,3286,236622,540887,502321,5649,9944,4626,3960000,510197,500613,5792,9924,4622,5048939,508325,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/qg6/gensys_brn_sk008,38302,2420,923,1626,4793,41328,36124,3070,927,1706,64919,39368,35862,3002,927,1676,87604,39044,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/qg6/iso_icl001,105660,2606,3173,2124,24127,109126,100282,3179,3097,2321,399153,103594,99544,3238,3089,2317,513482,102814,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/qg6/gensys_icl_sk010,133296,4300,2889,3177,24996,140688,126575,5725,2885,3490,637657,134827,125759,5573,2833,3441,817439,133785,
/home/lv70340/bruno/Skeptik/Proofs/QF_UF/QG-classification/qg6/iso_icl_nogen_sk010,122842,4365,2661,3091,22498,132114,119238,6611,2659,3318,594188,129796,118013,6386,2659,3261,738449,128179,
